50 63
28 8 5
18 1 5
27 4 8
43 38 3
13 30 9
26 33 4
17 18 2
19 37 8
39 22 3
19 47 2
19 6 3
46 44 10
35 10 9
1 20 7
40 0 5
35 38 7
10 2 7
40 43 7
29 15 2
33 29 2
19 26 2
3 4 8
44 25 6
35 48 9
27 23 5
41 5 9
32 34 3
20 17 10
19 15 8
33 19 10
49 12 1
21 19 2
17 27 1
1 31 2
16 41 6
1 7 8
41 45 10
21 9 6
40 46 7
35 49 10
46 36 3
35 1 8
24 33 4
39 14 10
6 28 7
21 42 7
21 20 2
20 16 5
19 13 7
40 24 5
29 14 1
44 27 1
19 39 10
29 4 4
17 42 1
20 11 7
16 5 7
35 3 6
21 39 8
40 35 2
43 23 8
28 32 7
40 21 8
47 48 21 34 26 11 36 33 23
