50 63
27 42 7
39 27 1
46 44 2
33 8 8
24 15 9
48 41 7
44 3 9
25 48 6
25 33 7
28 5 7
39 30 7
13 1 7
26 49 7
35 19 3
9 39 9
42 43 6
48 45 10
34 40 2
42 31 9
4 47 4
26 34 2
12 14 9
26 28 6
42 26 7
43 10 1
44 36 4
18 15 5
23 21 6
6 38 1
25 16 5
1 14 2
26 13 9
44 25 7
3 11 5
6 34 1
48 22 3
25 30 2
9 17 7
46 27 8
11 28 9
43 17 6
44 21 3
44 19 4
44 16 5
3 20 9
11 0 9
48 23 8
18 35 1
23 7 8
8 26 5
16 29 2
33 37 5
28 4 5
20 24 6
41 12 3
20 18 10
36 39 1
44 6 8
24 46 6
18 9 4
42 32 3
15 2 9
49 5 9
24 22 18 8 6 10 38 5 40 39 27 42 48
